Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2023-06-13,69433.8046875,69626.67636718751,69048.061328125,69144.49716796876,13227285
2023-06-14,69337.359375,69626.66685500696,68565.87276164812,69530.23102833798,12541046
2023-06-15,68951.6328125,69723.1196131993,68758.76111232517,69530.24791302448,13614994
2023-06-16,69240.9296875,69337.36552271937,68373.00717052577,69240.9296875,15373696
2023-06-19,68662.3203125,69144.49952817766,68373.01278309339,68758.75615563554,11100887
2023-06-20,68855.1875,68855.1875,67890.82913165266,68180.13664215687,11557883
2023-06-21,67987.265625,68662.3164893617,67890.82978723403,68180.13730053192,10626603
2023-06-22,68758.7578125,68951.62950341865,67601.52766698807,67697.9635124474,11411007
2023-06-23,69048.0546875,69626.6696709148,69048.0546875,69433.79800977654,12329484
2023-06-26,69819.5390625,69915.9748899344,68951.61661559046,69144.48827045925,10541901
2023-06-27,70012.4140625,70012.4140625,69433.79907024793,69915.97823045799,9442997
2023-06-28,70108.859375,70108.859375,69433.80845942227,70012.42352991746,8783093
2023-06-29,70167.96875,71137.13958908839,70167.96875,70846.38833736187,12229967
2023-06-30,69974.1484375,70458.73395299514,69489.56292200484,70264.89974679709,11694765
2023-07-03,70749.4765625,70943.31074486302,70361.80819777398,70458.72528895548,10722181
2023-07-04,70749.4765625,71330.97910958904,70652.5594713185,71137.14492722604,10214350
2023-07-05,69780.3046875,71040.22685546875,69683.38759765626,70749.4755859375,12310610
2023-07-06,69392.6328125,70167.96949196927,69295.71572756633,69683.38406730097,14777667
2023-07-07,67745.0546875,69198.81122585837,67648.13758494277,68908.0599181867,17308877
2023-07-10,67357.3828125,68229.63669064749,67066.63151978418,67841.96830035972,11713926
2023-07-11,69295.7265625,69295.7265625,67938.88716127623,68035.80426136364,12177392
2023-07-12,69683.3828125,69780.29989568845,68908.04614699235,69004.9632301808,10375581
2023-07-13,69683.3828125,70361.8023948192,69683.3828125,70167.96822844227,14417279
2023-07-14,71137.15625,71137.15625,70167.98518392371,70264.90229053133,15882519
2023-07-17,71040.234375,71234.06857520464,70555.6488744884,70943.31727489768,10060049
2023-07-18,69780.3046875,71234.06103515625,69780.3046875,70943.309765625,11697900
2023-07-19,69489.5546875,70555.64269525802,69101.88632104253,70458.72560364366,10896412
2023-07-20,68811.140625,69295.72612235915,68617.30642605634,68908.05772447183,9732730
2023-07-21,68132.71875,68229.6358463727,67260.46488264581,68229.6358463727,16528926
2023-07-24,68229.6328125,68714.21827281606,67745.04735218394,67938.88153631038,13418597
2023-07-25,67841.96875,68326.55424107143,67648.13455357142,67841.96875,14314945
2023-07-26,67648.1328125,68423.4695782593,66000.54218526145,67648.1328125,30016221
2023-07-27,69489.5546875,69489.5546875,67163.54448875523,67745.04703844142,24261179
2023-07-28,68423.46875,70167.97645184136,67938.88327726629,69586.47388456091,19420683
2023-07-31,67648.1328125,68811.13796113897,67648.1328125,68714.22086541905,13035420
2023-08-01,68908.0546875,69004.97178270042,67841.96664029536,67938.88373549578,12299254
2023-08-02,67745.0546875,68811.14281562947,67648.13758494277,68520.3915079578,13835020
2023-08-03,66678.9609375,68035.80025890261,66388.2096543423,67745.04897574491,20087090
2023-08-04,66194.375,66969.71174963396,66097.45790629575,66678.96046852123,12360193
2023-08-07,66388.203125,67066.6227189781,65515.94936131387,65612.86644616789,10968505
2023-08-08,65515.953125,66969.70948132397,65322.1189441568,66872.79239090237,14664709
2023-08-09,66775.8828125,67454.30252177067,65806.71179925617,65903.62890058054,17259673
2023-08-10,65903.625,66388.21047794117,65709.79080882353,66194.3762867647,10227311
2023-08-11,65419.03515625,66678.95731481482,65419.03515625,66291.28895833333,9781038
2023-08-14,65225.20703125,65806.70961993872,64837.538638790866,65419.041227479574,9352343
2023-08-16,64934.4609375,65031.37804337687,64256.04119636194,64643.709619869405,13174578
2023-08-17,64643.69921875,64740.61630903299,63965.27958676912,64256.03085761807,10778652
2023-08-18,64256.03125,64643.699613499244,63771.44579562594,63965.27997737557,11745006
2023-08-21,64546.78125,65031.366694819815,64256.02998310811,64546.78125,9720067
2023-08-22,64546.78125,65612.8692286036,64256.02998310811,65128.28378378378,10500242
2023-08-23,65031.375,65031.375,64352.955290611026,64643.70659463487,9549352
2023-08-24,66097.4609375,66582.04642824412,65806.70964305352,66194.37803564883,15044463
2023-08-25,65031.375,65322.12630402384,64837.54079731743,65031.375,7032462
2023-08-28,64740.62890625,64934.46312453219,64449.87757882672,64740.62890625,5824628
2023-08-29,64740.62890625,65128.297342814374,64546.79468796781,64837.5460153911,9114352
2023-08-30,65031.375,65612.87760804768,65031.375,65225.20920268256,9181223
2023-08-31,64837.53515625,65128.28643497758,64352.94969170404,65031.369342068385,15964630
